CH0
0,
0,
780,
825,
822,
813,
759,
768,
768,
837,
849,
789,
843,
837,
852,
813,
891,
813,
0,
171,
168,
0,
180,
177,
171,
150,
150,
0,
150,
162,
171,
180,
174,
180,
174,
0,
186,
186,
183,
0,
180,
183,
186,
186,
843,
843,
837,
846,
849,
840,
840,
837,
843,
813,
846,
852,
759,
852,
846,
840,
840,
813,
765,
837,
849,
813,
840,
849,
807,
840,
840,
825,
840,
843,
846,
573,
828,
813,
765,
846,
843,
843,
756,
831,
831,
822,
786,
762,
813,
840,
849,
846,
813,
843,
840,
843,
843,
837,
840,
816,
846,
828,
837,
843,
840,
846,
840,
843,
840,
846,
843,
777,
765,
840,
843,
846,
840,
849,
837,
765,
813,
834,
834,
819,
846,
792,
819,
843,
762,
840,
843,
840,
831,
846,
834,
834,
837,
846,
843,
837,
846,
834,
822,
852,
831,
843,
840,
843,
843,
837,
765,
795,
843,
765,
846,
804,
813,
834,
843,
843,
831,
765,
846,
843,
834,
840,
822,
765,
765,
846,
843,
846,
843,
849,
840,
840,
843,
813,
843,
834,
813,
846,
840,
846,
795,
864,
846,
831,
849,
843,
843,
846,
825,
816,
837,
822,
804,
837,
843,
840,
825,
840,
837,
816,
831,
819,
828,
792,
843,
15,
0,
3,
1449,
1482,
1437,
39,
39,
39,
12,
0,
15,
645,
759,
39,
39,
39,
15,
27,
12,
852,
864,
840,
846,
846,
864,
852,
846,
849,
888,
918,
3069,
3069,
3069,
18,
9,
15,
870,
855,
39,
39,
39,
39,
39,
39,
24,
18,
18,
780,
720,
771,
543,
690,
792,
42,
801,
795,
768,
741,
783,
792,
804,
12,
3,
12,
1068,
1080,
1134,
1104,
39,
42,
39,
33,
39,
39,
39,
39,
39,
39,
12,
18,
18,
789,
1143,
1107,
1104,
1104,
1077,
39,
0,
3,
0,
12,
957,
1080,
1098,
1086,
969,
1128,
561,
1110,
1104,
1077,
36,
42,
42,
39,
36,
42,
39,
39,
0,
15,
12,
981,
951,
924,
957,
945,
960,
957,
939,
969,
879,
945,
963,
966,
939,
813,
6,
12,
12,
903,
939,
951,
30,
30,
30,
30,
6,
99,
24,
0,
1668,
33,
33,
36,
9,
9,
12,
0,
3066,
3069,
3069,
840,
840,
840,
630,
648,
606,
921,
762,
834,
339,
840,
840,
870,
840,
888,
840,
840,
834,
840,
840,
834,
837,
777,
882,
840,
837,
831,
765,
840,
837,
840,
837,
837,
840,
840,
840,
831,
843,
837,
843,
840,
237,
831,
867,
837,
828,
831,
834,
840,
828,
837,
825,
834,
0,
834,
828,
867,
21,
828,
819,
837,
828,
837,
840,
381,
864,
840,
840,
861,
891,
840,
837,
846,
846,
840,
912,
837,
840,
831,
891,
840,
840,
843,
840,
825,
819,
825,
831,
840,
921,
840,
846,
831,
828,
840,
840,
819,
840,
840,
840,
837,
840,
840,
840,
813,
837,
381,
843,
837,
837,
921,
840,
837,
837,
834,
831,
846,
1044,
879,
912,
924,
561,
822,
819,
828,
765,
909,
816,
915,
819,
825,
816,
825,
219,
468,
741,
810,
696,
816,
939,
918,
894,
726,
849,
867,
642,
876,
813,
813,
819,
921,
903,
861,
936,
921,
918,
924,
921,
873,
924,
816,
921,
918,
819,
870,
882,
864,
870,
954,
765,
918,
810,
921,
816,
897,
822,
924,
822,
921,
819,
816,
777,
822,
909,
921,
849,
918,
924,
897,
912,
885,
903,
822,
903,
813,
819,
819,
912,
966,
957,
921,
858,
954,
927,
816,
1005,
918,
921,
789,
918,
912,
873,
816,
846,
909,
933,
930,
825,
861,
921,
825,
843,
864,
927,
888,
945,
825,
924,
825,
921,
894,
930,
831,
891,
906,
828,
918,
816,
906,
861,
861,
822,
924,
885,
912,
873,
900,
921,
927,
918,
285,
840,
909,
861,
903,
924,
876,
909,
873,
915,
921,
849,
909,
867,
930,
918,
927,
921,
924,
924,
921,
822,
843,
909,
972,
915,
915,
960,
921,
888,
777,
924,
921,
915,
915,
921,
819,
189,
762,
912,
915,
900,
903,
939,
867,
885,
924,
921,
921,
921,
960,
897,
819,
819,
816,
822,
819,
762,
822,
819,
813,
819,
819,
819,
819,
819,
819,
822,
822,
822,
819,
822,
819,
816,
819,
822,
819,
810,
285,
813,
816,
816,
801,
756,
816,
819,
816,
807,
819,
816,
819,
819,
816,
822,
819,
819,
321,
309,
318,
324,
318,
324,
312,
303,
306,
315,
321,
